Feature: f1                        Rank: 7,  Keep: False 
Feature: f2                        Rank: 22,  Keep: False 
Feature: f3                        Rank: 20,  Keep: False 
Feature: f4                        Rank: 19,  Keep: False 
Feature: f5                        Rank: 3,  Keep: False 
Feature: f6                        Rank: 2,  Keep: False 
Feature: f7                        Rank: 6,  Keep: False 
Feature: f8                        Rank: 14,  Keep: False 
Feature: f9                        Rank: 12,  Keep: False 
Feature: f10                       Rank: 23,  Keep: False 
Feature: f11                       Rank: 3,  Keep: False 
Feature: f12                       Rank: 3,  Keep: False 
Feature: f13                       Rank: 11,  Keep: False 
Feature: f14                       Rank: 2,  Keep: False 
Feature: f15                       Rank: 5,  Keep: False 
Feature: f16                       Rank: 7,  Keep: False 
Feature: f17                       Rank: 10,  Keep: False 
Feature: f18                       Rank: 15,  Keep: False 
Feature: f19                       Rank: 16,  Keep: False 
Feature: f20                       Rank: 12,  Keep: False 
Feature: f21                       Rank: 21,  Keep: False 
Feature: f22                       Rank: 9,  Keep: False 
Feature: f23                       Rank: 18,  Keep: False 
Feature: f24                       Rank: 17,  Keep: False 
