	f1	f2	f3	f4	f5	f6	preds_binary
26	-0.07827	187.96604	2.40389	0.00063	0.01558	0.00047	0
27	0.42106	-570.99167	1.30697	-0.00495	-0.11325	-0.00015	0
28	0.0741	-471.37889	0.18611	-0.00234	-0.04732	-0.00081	0
29	0.07271	-322.70583	-0.14615	-0.00294	-0.05283	-0.00126	0
30	0.16872	-264.65103	-0.15382	-0.00129	-0.01836	-0.0002	0
31	0.1451	134.10008	2.08189	0.00076	-0.01009	-0.00126	0
32	0.03645	561.10643	0.08875	0.00209	0.05518	-0.00198	0
33	0.10695	346.30109	-0.58984	0.00157	0.06249	-0.00191	0
34	-0.1797	-741.54983	-1.76767	-0.00313	-0.10744	-0.00081	0
35	-0.20658	-1347.36516	-3.28643	-0.00912	-0.15978	-2e-05	0
36	-0.16754	-1307.84617	-2.64897	-0.01013	-0.16512	3e-05	0
37	-0.11998	-439.98211	-2.09735	-0.00441	-0.06818	-0.00119	0
38	0.15789	795.13576	2.17313	0.00242	0.07851	-0.00199	0
39	0.67382	211.27526	3.56138	0.00033	0.02359	-0.00129	0
40	0.13656	-703.70603	-0.89554	-0.00572	-0.07921	0.00018	0
41	0.04705	-332.24069	1.10126	-0.00287	-0.07988	-0.0031	0
42	0.09507	-530.11326	0.41897	-0.00278	-0.05885	-0.00353	0
43	-0.34635	-1134.06325	-4.11091	-0.00739	-0.15325	5e-05	0
44	-0.03346	-508.03603	1.9854	-0.00467	-0.10882	-0.00166	0
45	0.32484	183.9778	2.35608	0.00171	0.02038	-0.00166	0
46	0.26225	45.76857	2.31284	0.00032	-0.02722	0.00052	0
47	-0.01596	802.34113	-0.03135	0.00919	0.14254	3e-05	0
48	0.099	1205.53747	1.90227	0.01075	0.17001	-0.00096	0
49	-0.37936	-124.40344	-0.90201	-0.00091	-0.01942	0.00025	0
50	-0.0679	-61.92429	2.03269	-0.00118	-0.02999	-0.00163	0
51	0.27964	-204.86824	-0.20984	-0.00195	-0.03456	-0.00113	0
52	-0.17631	-146.47182	1.06052	-0.002	-0.06209	-0.00213	0
53	0.17642	-512.17611	0.63071	-0.00394	-0.09913	-0.00097	0
54	-0.17866	-56.06331	0.16138	-0.00213	-0.04126	4e-05	0
55	-0.26171	573.59742	0.39206	0.00449	0.04572	4e-05	0
56	-0.33384	123.99497	-1.33097	0.00078	0.02292	4e-05	0
57	-0.04281	-705.04429	1.3454	-0.00596	-0.12518	-0.00148	0
58	-0.07913	-379.00916	-2.56906	-0.00266	-0.0441	0.00068	0
59	0.04195	-75.15703	0.5464	-0.00284	-0.02663	0.00324	0
60	0.04912	-93.51234	2.32494	-0.00124	-0.03585	0.00129	0
61	-0.02298	311.72444	0.07126	0.0016	0.02906	-0.00109	0
62	0.51257	-371.45417	1.97154	-0.00466	-0.09738	-0.00114	0
63	-0.26013	357.32583	-0.87544	0.00149	0.05129	-0.00219	0
64	-0.18393	-958.98926	-1.79001	-0.00795	-0.13977	-0.0001	0
65	0.08368	498.57143	2.59313	0.00258	0.02978	-0.00036	0
66	0.11831	-388.02754	-0.26072	-0.0028	-0.04089	-3e-05	0
67	0.1502	-65.96383	1.17338	-0.0002	-0.01249	0.00082	0
68	0.0531	534.74871	0.63492	0.00347	0.06382	-0.00186	0
69	0.54262	-366.65277	2.35874	-0.00431	-0.09781	-0.00075	0
70	-0.01417	-132.10583	0.26017	-0.00166	-0.06039	8e-05	0
71	0.51257	-371.45417	1.97154	-0.00466	-0.09738	-0.00114	0
72	0.14685	-805.74881	2.18159	-0.00342	-0.12317	-0.00034	0
73	-0.22857	-203.27148	-2.78331	-0.00086	-0.02973	0.0003	0
74	0.10066	-298.0944	0.9817	-0.00278	-0.03651	-0.00036	0
75	-0.11631	-564.50062	-1.10754	-0.0059	-0.09547	-3e-05	0
76	0.42106	-570.99167	1.30697	-0.00495	-0.11325	-0.00015	0
77	-0.00371	-667.50725	-0.24992	-0.00483	-0.11565	-0.00119	0
78	-0.37107	-895.1376	-3.58481	-0.0065	-0.08437	-8e-05	0
