	f1	f2	f3	f4	f5	f6	preds_binary
0	-0.02587	-720.97757	-0.66948	-0.00667	-0.11759	-0.00119	0
1	-0.36583	-446.07805	-1.85846	-0.00121	-0.0458	-0.00241	0
2	-0.44849	1102.53697	-2.46046	0.00881	0.20864	-0.00114	0
3	0.19046	-239.31243	0.59143	-0.00115	-0.00135	-0.00073	0
4	-0.12176	-571.12157	-1.04497	-0.00553	-0.09498	-0.0	0
5	-0.13022	-462.02503	-4.04548	-0.00295	-0.05441	-0.00028	0
6	0.09507	-530.11326	0.41897	-0.00278	-0.05885	-0.00353	0
7	0.27937	-34.67567	0.94354	0.00064	-0.0142	-0.00199	0
8	0.11839	728.47989	1.02065	0.00475	0.0914	-0.00146	0
9	-0.04907	-243.50119	-1.65897	-0.00131	-0.01652	-0.00036	0
10	0.07817	-393.96754	0.17417	-0.00288	-0.07321	-0.00346	0
11	-0.14566	-667.65669	-2.31796	-0.00353	-0.06944	-0.00021	0
12	0.7022	161.80214	0.62931	0.00214	0.08019	-0.00054	0
13	-0.73452	1039.93669	-2.43303	0.00758	0.16264	-0.00134	0
14	-0.24466	-396.32538	-0.70839	-0.00311	-0.02515	-8e-05	0
15	-0.03825	346.13557	-0.45601	0.002	0.04753	-5e-05	0
16	1.09245	302.49857	-0.907	0.00223	0.11398	-0.00081	0
17	-0.1102	-398.66992	-1.89211	-0.00121	-0.00721	-4e-05	0
18	0.71575	236.2924	4.03071	0.00024	0.02051	-0.00117	0
19	-0.08298	397.26411	1.2973	0.00216	0.03024	0.00013	0
20	0.24617	441.32274	2.31157	0.00225	0.05206	0.00038	0
21	0.42106	-570.99167	1.30697	-0.00495	-0.11325	-0.00015	0
22	-0.0175	-802.15603	-1.35726	-0.00603	-0.10909	-0.00012	0
23	0.10415	195.86903	1.9017	0.0001	-0.01295	0.00024	0
24	-0.1102	-398.66992	-1.89211	-0.00121	-0.00721	-4e-05	0
25	0.28366	-232.63677	0.74589	-0.00163	-0.02451	-0.00143	0
