mode	lag	classifier	mean_accuracy	mean_f1	mean_precision	mean_recall	stdev_accuracy	stdev_f1	stdev_precision	stdev_recall
cross	l4	nearestCentroid	0.25347	0.16610	0.54375	0.51279	0.03685	0.02381	0.10964	0.05487
cross	l4	adaboost	0.00000	0.00000	0.00000	0.84598	0.00000	0.00000	0.00000	0.00163
cross	l4	BernoulliNaiveBayes	0.01282	0.03758	0.00777	0.84081	0.02345	0.06518	0.01433	0.01043
cross	l4	DecisionTree	0.18541	0.17543	0.19379	0.73813	0.03772	0.02707	0.04137	0.01321
cross	l4	GradientBoosting	0.00377	0.12000	0.00194	0.84524	0.00796	0.31552	0.00409	0.00241
cross	l4	NeuralNetwork	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
cross	l4	randomForest	0.00192	0.00000	0.00000	0.84702	0.00608	0.00000	0.00000	0.00102
cross	l5	svm-rbf	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
cross	l5	sgd	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
cross	l5	nearestCentroid	0.26447	0.17363	0.56104	0.52226	0.03355	0.02439	0.07846	0.05037
cross	l5	adaboost	0.00377	0.07500	0.00194	0.84450	0.00796	0.16874	0.00409	0.00371
cross	l5	BernoulliNaiveBayes	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
cross	l5	DecisionTree	0.17112	0.16533	0.18902	0.73680	0.04191	0.02352	0.04760	0.01330
cross	l5	GradientBoosting	0.01698	0.30833	0.00874	0.84584	0.02259	0.40455	0.01162	0.00393
cross	l5	NeuralNetwork	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
cross	l5	randomForest	0.01508	0.33333	0.00485	0.84791	0.02139	0.40825	0.00687	0.00195
cross	l6	svm-rbf	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
cross	l6	sgd	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
cross	l6	nearestCentroid	0.25910	0.16975	0.55616	0.50732	0.03777	0.03133	0.04327	0.06725
cross	l6	adaboost	0.00000	0.00000	0.00000	0.84569	0.00000	0.00000	0.00000	0.00185
cross	l6	BernoulliNaiveBayes	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
cross	l6	DecisionTree	0.15825	0.15155	0.15703	0.73665	0.03850	0.03797	0.04306	0.01156
cross	l6	GradientBoosting	0.00190	0.05000	0.00097	0.84569	0.00602	0.15811	0.00307	0.00230
cross	l6	NeuralNetwork	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
cross	l6	randomForest	0.00000	0.00000	0.00000	0.84717	0.00000	0.00000	0.00000	0.00070
cross	l7	svm-rbf	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
cross	l7	sgd	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
cross	l7	nearestCentroid	0.23950	0.15671	0.51554	0.49681	0.03219	0.02541	0.06290	0.05949
cross	l7	adaboost	0.00731	0.13750	0.00387	0.84524	0.01748	0.32516	0.00937	0.00172
cross	l7	BernoulliNaiveBayes	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
cross	l7	DecisionTree	0.17323	0.15990	0.18412	0.72895	0.01735	0.02050	0.02005	0.00734
cross	l7	GradientBoosting	0.00182	0.01429	0.00097	0.84539	0.00575	0.04518	0.00307	0.00242
cross	l7	NeuralNetwork	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
cross	l7	randomForest	0.00000	0.00000	0.00000	0.84717	0.00000	0.00000	0.00000	0.00070
cross	l8	svm-rbf	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
cross	l8	sgd	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
cross	l8	nearestCentroid	0.26551	0.17441	0.56316	0.52685	0.04355	0.02846	0.11700	0.04531
cross	l8	adaboost	0.00000	0.00000	0.00000	0.84672	0.00000	0.00000	0.00000	0.00123
cross	l8	BernoulliNaiveBayes	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
cross	l8	DecisionTree	0.16104	0.16336	0.17737	0.73088	0.03048	0.02647	0.04164	0.01595
cross	l8	GradientBoosting	0.00185	0.02000	0.00097	0.84613	0.00586	0.06325	0.00307	0.00183
cross	l8	NeuralNetwork	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
cross	l8	randomForest	0.00000	0.00000	0.00000	0.84731	0.00000	0.00000	0.00000	0.00062
