	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	f37	f38	f39	f40	f41	f42	f43	f44	f45	f46	f47	f48	f49	f50	f51	f52	f53	f54	f55	f56	f57	f58	f59	f60	f61	f62	f63	f64	f65	f66	f67	f68	f69	f70	f71	f72	f73	f74	f75	f76	f77	f78	f79	f80	f81	f82	f83	f84
0	-0.66304	29.84849	-2.19511	-0.00111	-0.0096	0.00032	0.01045	-116.4294	0.12622	-0.00085	-0.02148	0.0006	-0.06418	-54.20389	-0.25757	0.00021	-0.01337	0.00088	-0.01812	-336.53495	0.46033	-0.00248	-0.06859	0.00037	-0.48747	67.22178	-1.0094	-0.0006	-0.02838	-0.00019	1.09374	-212.91556	2.27716	0.00046	0.04119	-0.00066	-0.57239	-175.20014	-3.2789	3e-05	-0.02644	-0.00015	0.22327	193.64921	1.2796	0.0005	0.01091	-0.00122	-0.47013	313.05889	0.0086	0.00267	0.07666	-0.00115	0.38216	49.39111	0.834	-0.00102	-0.01656	-0.00162	-0.50114	-166.76556	-1.3694	-0.00331	-0.08728	-0.00418	0.66929	85.09667	3.6656	0.00409	0.1066	-0.00079	-0.50134	-451.49722	-5.2724	-0.00347	-0.14653	-0.00072	0.19404	3.60444	3.0576	0.0013	0.05311	-0.00147
1	1.05608	33.71071	3.16561	0.00105	0.04486	9e-05	-0.15051	-168.12385	-0.1668	-0.00133	-0.05541	1e-05	-0.44161	-98.84333	-2.26921	-0.00142	-0.04846	-0.00015	0.32285	-79.52273	-0.55534	-0.00116	-0.02381	-0.0003	0.59289	48.727	0.86964	0.00141	0.06346	-0.00046	-0.45962	112.98222	-0.85264	0.00079	0.0223	2e-05	-1.17604	-49.1025	-2.88074	-0.00036	-0.05062	-0.00025	-1.06932	73.04571	-4.88382	0.00099	0.00467	-4e-05	-1.12573	94.92333	-2.77649	-0.00115	-0.03852	0.00057	-1.27226	-135.982	-1.23182	-0.00273	-0.08847	0.00053	-0.83394	-202.1425	0.91401	-0.00238	-0.07136	0.00044	-0.14122	-236.27667	2.18929	-0.00106	-0.04285	-0.00016	1.32984	233.355	4.70284	0.00292	0.11461	-0.00061	0.80111	578.1	4.14884	0.00475	0.20038	-0.00181
2	-0.25582	-766.36511	-1.38349	-0.00407	-0.10843	-0.00011	0.34738	602.18252	2.0932	0.00256	0.07511	-0.00064	-0.23911	-300.82607	-1.28582	-0.00187	-0.03847	0.00013	-0.07351	29.56269	0.29684	0.00094	-0.00053	4e-05	-0.54624	645.6722	-5.07462	0.0034	0.10322	-0.00095	0.02809	-827.17596	-1.15404	-0.00443	-0.10987	1e-05	-0.42076	942.18835	-0.58991	0.00586	0.11379	-0.00012	0.30814	-946.81011	-1.43192	-0.00585	-0.08709	0.00027	-0.05606	53.21993	1.68062	-0.00049	-0.05319	2e-05	0.45355	-308.0572	1.26471	-0.00288	-0.01119	5e-05	0.4342	144.5616	4.17551	0.00306	0.00202	0.00017	-0.62147	122.1296	-2.85427	0.0004	0.05135	-1e-05	0.52166	-1580.9684	2.04284	-0.01033	-0.25072	-7e-05	-1.01115	-1298.1424	-2.18382	-0.00697	-0.28882	8e-05
3	-0.03246	80.17538	0.1376	0.00059	0.01493	-2e-05	-0.01933	-50.83683	-0.31994	-0.00042	-0.00383	-0.00012	-0.05618	-210.94596	-1.66873	-0.00083	-0.00329	2e-05	0.2178	-345.44959	0.69305	-0.00124	-0.04393	-0.00013	0.0061	136.59711	1.354	0.0006	-0.00546	-3e-05	0.13654	-155.22381	-0.47884	-0.00127	-0.00935	5e-05	-0.60034	139.95854	-3.06265	0.00044	0.01587	-0.0	0.01016	-169.22272	1.25389	-0.00231	-0.05561	3e-05	0.22023	-94.06773	2.67927	-0.00062	-0.03528	-5e-05	-0.23772	276.55164	-0.3548	0.00137	0.02942	0.00013	-0.67297	-292.86629	-4.7944	-0.00116	-0.05692	-0.00013	-0.64338	127.26693	-7.2464	0.0013	0.04876	-0.00046	-0.34642	109.34404	-2.4024	0.00016	0.01189	0.00024	0.78018	-104.78596	5.3196	-0.00048	-0.01854	0.00071
4	0.19747	209.98733	0.53571	0.00203	0.06369	0.00263	0.03769	-119.1356	-0.74692	-0.00044	-0.00255	0.00034	0.12151	-93.94984	-0.065	-0.00049	-0.00796	-0.00047	0.00263	51.62998	-0.98182	0.00153	0.02966	-0.00332	-0.10944	-8.39562	-0.523	0.00053	-0.00156	-0.00256	-0.00615	262.6653	1.57444	0.00081	0.00769	-0.00222	-0.09606	-442.64096	-0.19375	-0.0024	-0.07445	-0.00132	-0.11709	-354.92186	0.04714	-0.00227	-0.06895	-7e-05	-0.13493	-493.2364	-0.03667	-0.00428	-0.10768	-0.0018	-0.28338	-444.71089	-3.184	-0.00316	-0.06778	-0.00063	-0.40487	411.82738	-2.625	0.00045	0.04177	0.00192	-0.30833	808.43916	1.93667	0.00324	0.05758	0.00197	-0.27061	-1184.00896	-0.055	-0.00878	-0.23695	0.00153	-0.02186	-1348.99329	0.2	-0.01099	-0.2522	0.00117
5	-0.24185	440.61538	-0.60367	0.00268	0.08313	0.00118	-0.2091	327.14112	-0.45472	0.00185	0.05837	-0.00316	0.23961	454.25571	2.18054	0.00093	0.01514	0.00033	-0.36558	-29.31468	-0.78262	-0.00093	-0.00942	0.0021	-0.06335	-377.81049	-1.02762	-0.00142	-0.03782	-0.0005	0.21068	95.0379	1.16834	0.00073	-0.00707	-0.00057	0.17103	-828.38646	-0.47454	-0.00395	-0.09798	-0.00033	-0.11389	-809.85986	-0.74348	-0.00568	-0.13827	-0.00214	-0.00547	-452.58362	0.92904	-0.00448	-0.12639	-0.0019	-0.08282	-743.14116	-1.52489	-0.00296	-0.08279	-0.00017	-0.1299	-572.82729	-1.56546	-0.00227	-0.05194	-0.00045	-0.07747	737.64693	-0.79573	0.00569	0.13744	-0.00165	0.0341	-627.65262	-2.25462	-0.00053	-0.03769	-0.00012	-0.0057	-1725.74596	-4.19929	-0.00481	-0.18946	-0.00189
6	-0.2435	-227.95246	-1.22389	-0.00193	-0.03185	0.00037	-0.45551	-233.7412	-1.86268	-4e-05	-0.02024	0.00034	0.34802	-12.58222	2.37307	-8e-05	-0.02149	-7e-05	0.4889	93.3702	2.03985	0.0005	0.0008	-0.00026	-0.21538	-597.14222	-3.9408	-0.00275	-0.03447	-0.00012	-0.53084	286.12037	-2.22271	0.00068	0.03424	-0.00035	0.24891	406.49069	1.94365	0.00138	0.01936	-0.00049	0.07028	-442.29175	-0.26646	-0.00337	-0.09694	-0.00049	-0.8756	-255.67	-6.5536	1e-05	-0.00195	0.00042	-0.34752	629.30711	0.7484	0.00248	0.06323	-0.00075	1.11353	-217.26722	5.7089	-0.0003	-0.00623	-0.00034	-1.33855	-382.65667	-6.78427	-0.00242	-0.07362	-0.00159	-0.08512	357.51944	1.6994	0.0028	0.06069	-0.00028	0.63158	266.68778	7.5684	0.00055	0.01322	-0.00059
7	0.16906	63.77333	1.77742	-0.00055	-0.00975	-0.00093	-0.17356	-87.4638	-1.42136	-0.00076	-0.01983	-0.0007	-0.38411	243.24866	-2.52399	0.00172	0.04205	0.00022	-0.64407	-164.74365	-4.74152	-0.00077	-0.01744	-0.00051	-0.02531	-533.85062	-1.40849	-0.00418	-0.07875	0.00064	0.15126	294.01841	2.04307	0.00169	0.0473	0.00047	0.35354	168.72263	1.85801	0.00031	0.0398	-0.00072	0.6654	-259.85738	3.51761	-0.00296	-0.06367	-0.00106	-0.05164	559.31727	2.17496	0.00523	0.05506	-0.00015	-0.435	383.46911	-3.19756	0.00285	0.07276	0.00104	-0.25947	-742.72262	-1.31149	-0.00407	-0.10095	-0.00076	-0.34115	-852.52151	-1.85493	-0.00372	-0.12383	0.00025	0.23515	-359.73062	-2.31749	0.00514	0.08272	0.00014	0.4657	-3410.88729	1.19351	-0.03091	-0.54576	-7e-05
8	0.05403	419.02208	0.98254	0.00234	0.04226	0.00442	0.03811	38.55925	0.36625	-0.00083	-0.00815	0.0004	-0.00838	-394.69371	-0.26927	-0.0034	-0.06743	-0.00248	-0.08385	-167.85679	-1.28396	-0.00117	-0.01519	-0.00194	-0.18655	-62.80449	-1.3238	0.00107	0.01391	-0.00053	-0.07215	-176.7456	-1.30271	0.00068	0.00224	-0.00014	-0.00173	-365.81332	-0.1826	-0.00194	-0.04299	-0.00055	-0.10031	-431.57658	-0.60503	-0.003	-0.0643	-0.00184	0.02325	11.55462	0.12473	-0.00123	-0.00079	-0.00289	0.07884	27.97244	-0.0096	0.0004	0.01364	-0.00426	0.07376	354.82551	0.0744	0.0031	0.06333	-0.00312	-0.04454	-63.04271	1.4984	-1e-05	-0.05022	-0.00115	0.28615	251.09351	1.3464	0.00205	0.05348	0.0023	-0.24213	-276.37182	0.5184	-0.0026	-0.11439	0.00249
9	0.07901	497.9736	1.13561	0.00337	0.06187	-9e-05	-0.24757	20.34406	-3.89849	-0.00047	0.0171	-0.00012	-0.11238	-277.6774	-1.63516	-0.00231	-0.0117	1e-05	-0.18865	-204.92967	-2.54631	-0.00211	-0.02404	-0.0001	-0.06237	-363.4076	-0.02049	-0.00346	-0.08309	-0.00035	0.25171	18.7096	3.09781	0.00071	-0.01229	0.00029	-0.02773	-18.1879	0.37393	0.00078	-0.01594	-0.00018	-0.07844	-228.19011	1.27084	-0.00131	-0.0391	7e-05	0.15313	-474.98173	-0.69049	-0.00325	-0.06191	0.00038	-0.16426	-95.6356	-6.85356	-0.00048	-0.00102	-2e-05	-0.10984	-60.3544	1.97668	0.00071	-0.00652	-0.00088	0.62357	-43.81173	10.40307	0.00036	-0.00278	0.00052	-0.04399	-165.1584	-3.23116	-0.00054	-0.01161	-2e-05	-1.16011	-294.6944	-9.73116	-0.00059	-0.00414	-6e-05
