	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	f37	f38	f39	f40	f41	f42	f43	f44	f45	f46	f47	f48	f49	f50	f51	f52	f53	f54	f55	f56	f57	f58	f59	f60	f61	f62	f63	f64	f65	f66	f67	f68	f69	f70	f71	f72	f73	f74	f75	f76	f77	f78	f79	f80	f81	f82	f83	f84
10	-0.19164	262.42223	-0.8401	0.00222	0.07149	0.00121	-0.17331	444.09897	-0.24247	0.00224	0.07043	-0.00306	0.01161	381.34349	1.65271	0.00023	-0.00726	0.00046	-0.48826	-34.96644	-1.48402	-0.00027	-0.00026	0.00197	0.14872	-387.66596	-0.24442	-0.00133	-0.04821	-0.00067	0.23806	321.19241	0.95567	0.00216	0.03277	-0.0005	0.1894	-1057.27746	-1.20537	-0.00445	-0.11234	-2e-05	0.01252	-650.95015	0.24747	-0.00529	-0.1305	-0.00202	-0.02873	-636.05873	0.51804	-0.00515	-0.14235	-0.00295	-0.40257	-716.26222	-2.00929	-0.00352	-0.09177	-0.00075	-0.06983	-501.83496	-0.74162	-0.00297	-0.05735	0.00083	0.1267	597.43582	0.73227	0.00354	0.1006	-0.00123	-0.01454	-991.31862	-2.40429	-0.00208	-0.04997	-0.00224	0.43178	131.59804	1.96071	-0.00038	-0.00333	0.00045
11	-0.06051	-159.21468	0.6917	-0.00078	-0.0306	-4e-05	-0.20513	-50.87013	-1.70716	-0.00015	0.00398	-3e-05	-0.15721	55.02101	1.00651	-0.00064	-0.02453	0.00028	-0.0069	-388.72431	-0.20491	-0.00211	-0.05277	-0.00048	-0.2954	262.61618	-3.99662	0.00212	0.06686	-0.00027	0.24643	-99.87227	-0.18901	-0.00068	-0.02694	7e-05	0.14556	-144.42541	-0.75649	-0.00066	-0.01868	-0.00042	-0.68844	84.53008	-2.13868	0.00013	-0.00875	0.00013	-0.21701	-342.76371	-0.1786	-0.00274	-0.07008	0.00039	0.16501	401.94511	-2.23729	0.00301	0.1027	-9e-05	0.31074	118.75118	-0.09966	0.0006	0.00169	0.00032	0.01001	2.13507	4.11973	9e-05	0.00502	0.00015	0.37294	-0.44049	3.30018	-1e-05	0.00046	-0.00021	0.07297	-216.07716	-0.08649	-0.00129	-0.0414	-0.00046
12	0.05274	-314.82131	0.1547	-0.00162	-0.05544	-0.00066	-0.23254	41.93609	-1.92249	-0.00056	0.00489	-0.00035	0.05019	217.3854	0.66129	0.00145	0.04252	0.00051	-0.01729	-118.2916	0.92903	-0.00053	-0.03148	0.00017	-0.13306	-367.722	-2.06549	-0.00253	-0.04636	0.00035	-0.24132	-423.48893	-3.25782	-0.00384	-0.04767	-0.00045	-0.04798	224.25715	0.97643	0.00224	0.03018	3e-05	0.28895	-393.48331	2.19227	-0.00231	-0.05413	-0.00093	-0.10628	204.67907	-1.73204	0.00021	0.02874	-0.00083	-0.17093	-204.4052	-0.96756	-0.00054	-0.02347	0.00103	0.30219	527.6854	3.75451	0.00258	0.06626	-0.00111	0.06364	-178.1436	1.01062	-0.00041	-0.02674	-0.0015	-0.22704	171.3924	-4.05016	0.0003	0.02507	-0.00256	0.17851	286.2924	2.53151	0.00225	0.03388	0.00075
13	-0.22879	-219.07457	-1.14897	-0.00254	-0.04898	-0.00132	-0.05218	81.47876	-1.30132	0.00165	0.02234	-0.0003	0.04975	-246.3719	0.4011	-0.00188	-0.04594	-0.00129	-0.1281	-7.91165	0.51615	0.00046	0.00663	0.00029	0.30117	107.41338	2.3026	-0.00036	-0.02451	-0.00171	-0.32835	187.94353	-3.16996	0.00135	0.05054	0.0036	0.18857	-392.76837	0.46785	-0.0024	-0.02401	-0.00172	-0.06994	5.56804	-0.0124	0.00036	-0.00351	0.00027	-0.17335	28.3696	-1.30073	0.00121	0.00173	-0.0005	0.229	-268.42089	1.646	-0.00264	-0.05061	0.0008	-0.16793	-36.76562	-1.8679	0.00202	0.02575	-0.00132	0.02147	-1225.94596	-0.8024	-0.00929	-0.19606	0.00089	-0.10132	843.24271	-0.6934	0.00464	0.15547	-0.00223	-0.1113	467.16338	-0.0184	0.00396	0.07531	0.00118
14	-0.13578	-360.14508	-0.43962	-0.00237	-0.05832	3e-05	-0.26269	-143.8053	-0.15929	-0.00142	-0.04014	-0.0002	-0.18601	260.49611	-1.06423	0.00176	0.04212	-0.00012	-0.01113	164.55657	0.54762	0.00084	0.00581	4e-05	-0.51131	-448.10356	-2.89449	-0.00319	-0.04336	7e-05	0.07781	14.37111	1.07019	-0.00026	-0.02898	6e-05	-0.02069	357.88444	0.16996	0.00189	0.0643	-0.00015	-0.05359	-866.21746	0.61423	-0.0076	-0.16968	-0.00018	0.04001	-14.24111	0.11293	0.00201	0.03473	0.0001	1.62462	575.13978	3.33484	0.00455	0.1369	0.00022	-0.78993	-371.31722	-2.05862	-0.00275	-0.07495	-2e-05	-1.2309	-259.24	-4.14329	-0.00151	-0.03866	0.0001	0.09655	316.80111	-0.44496	0.00209	0.06194	-0.00021	0.54868	231.96444	3.09404	0.00013	-0.00877	-2e-05
15	0.05703	-216.35675	0.34611	-0.00286	-0.04457	0.0001	-0.18009	160.0588	-1.08498	0.00103	0.01897	0.00042	-0.41595	-99.83167	-1.8691	0.00131	0.0196	0.00032	-0.39521	-313.9798	-3.06269	-0.00147	-0.03317	0.00019	0.12103	-35.80489	-0.0406	0.00044	0.01078	-0.00017	0.09689	-345.59556	1.24707	-0.00271	-0.11674	0.00013	0.43604	56.49736	4.3359	-0.00071	-0.02379	-0.00046	-0.00905	318.63206	-0.43903	0.00268	0.06744	-0.00057	-0.06216	-769.24111	-0.33993	-0.00556	-0.11573	-0.00014	-0.29834	-96.16756	-2.912	-0.00168	0.00937	-0.00117	-0.12155	-389.71722	-5.3741	-0.00151	-0.01662	-0.00013	0.4805	-4.08556	3.37773	-0.00271	0.01355	-0.00363	-0.108	997.99944	3.0494	0.00405	0.06604	-0.002	-0.372	465.11778	2.9884	0.00222	-0.0447	0.00097
16	-0.00441	409.13652	-0.73174	0.00339	0.07805	-0.00018	-0.33286	-280.57744	-3.96806	-0.00107	-0.01006	-0.00017	0.04525	-571.21484	0.20473	-0.00425	-0.09378	-0.00023	0.18522	-574.08074	1.86567	-0.00604	-0.12933	0.00024	0.06147	-434.58309	2.3764	-0.00454	-0.09074	0.0003	-0.25847	-400.70625	-3.17493	-0.00245	-0.03936	-0.00018	-0.15363	237.66088	-3.14035	0.00216	0.06384	-0.00021	0.26077	965.34319	3.48669	0.00841	0.15206	-0.00031	-0.08175	908.8776	0.63307	0.00555	0.11791	0.00049	-0.22034	285.34204	-1.384	0.00241	0.04304	8e-05	-0.07819	-630.33062	-0.6446	-0.00384	-0.09562	-0.00016	-0.16743	-1046.09084	-3.6776	-0.00615	-0.13463	-0.00074	0.36578	-754.68196	3.1944	-0.00699	-0.13382	0.00052	0.60486	546.83804	5.9784	0.00016	0.00405	0.00071
17	0.0439	58.18752	0.61354	0.00028	-0.00515	-0.00073	-0.19579	-375.49211	0.49471	-0.00364	-0.09722	-0.00063	0.15976	-276.73179	-0.44393	-0.00083	-0.00618	0.00011	-0.41837	-127.87535	-3.13905	4e-05	0.00339	-0.00105	-0.253	-106.51596	-0.5246	-0.00021	0.00124	-7e-05	-0.37093	484.74056	-1.19627	0.00345	0.09733	-0.00028	0.00545	438.74779	0.7459	0.00128	0.04732	0.00265	-0.42207	-900.17757	0.51669	-0.00711	-0.24637	-0.00071	0.20425	-160.29929	-0.8766	-0.00123	-0.03304	-0.0012	1.34838	-121.16022	0.296	0.00297	0.08908	0.001	-1.23693	184.77954	-2.6666	-0.00087	-0.06184	-0.00181	-0.4139	-254.74307	0.91707	-0.00196	-0.04093	0.00013	0.66492	96.05338	4.6264	9e-05	-0.01698	0.00139	-0.75734	0.25404	-9.4656	0.0003	-0.00824	-0.00034
18	0.01473	-166.55038	1.14497	-0.00085	-0.01236	5e-05	-0.51012	-51.14247	-1.47652	0.00024	-0.0001	-0.00013	-0.2845	-299.65729	0.10307	-0.00266	-0.10778	0.0001	-0.2463	-131.58117	-0.22687	-0.00161	-0.06357	-0.00021	0.26734	-304.17582	-0.97	-0.00062	-0.00902	-0.00016	0.4503	-47.05655	-0.39338	0.00072	0.04291	-0.00062	0.12799	881.56946	0.3114	0.00441	0.14297	-0.00095	-0.46718	-322.96805	-3.72817	-0.00224	-0.05158	-0.00018	-0.58478	126.88138	-3.05093	0.00125	0.01831	-0.00011	0.55432	-388.34249	3.0628	-0.00314	-0.10604	0.00012	0.27228	82.40304	2.1324	0.0002	-0.00467	0.0003	-0.15427	-329.0144	-1.38427	-0.00096	-0.01653	0.00018	-0.06222	11.18071	-0.3456	0.00024	0.01574	0.00058	0.02878	367.70471	0.2944	0.00181	0.05179	0.00083
19	0.2141	147.35427	-0.50626	0.00133	0.06715	-0.00209	-0.13258	-662.3689	-1.56748	-0.00359	-0.0934	0.00073	0.03395	-911.95093	1.08377	-0.00508	-0.17935	-0.00119	-0.2263	-424.87516	0.22069	-0.00254	-0.10448	-0.00061	-0.36517	133.73078	-0.515	0.00238	0.04116	-0.00113	-0.16993	792.14507	-0.54529	0.00313	0.10553	0.00165	-0.38324	737.54976	-1.78765	0.00467	0.13595	-0.00141	-0.11363	-17.92439	-0.18183	-0.00237	-0.0466	0.00418	0.08282	-1340.38971	0.23727	-0.00715	-0.20233	-0.00495	0.16921	-617.58809	-1.0648	-0.00241	-0.0769	0.00037	0.1361	710.23601	0.6846	0.00478	0.11511	-0.00048	0.15051	1617.39284	2.2336	0.00865	0.22969	0.00067	-0.02657	-1967.91849	-2.4584	-0.01059	-0.24832	-0.00604	-0.02997	1082.35751	0.8736	0.00066	0.11483	0.01018
20	-0.0765	-127.59977	-0.96769	-0.00062	-0.01207	-0.00011	-0.15489	-110.29275	-1.97778	-8e-05	0.00444	-0.00084	0.00397	-345.61899	0.05527	-0.00199	-0.0622	-0.00139	0.19687	-310.79031	0.85051	-0.00116	-0.03864	0.00036	0.04109	-174.82082	1.5228	-0.00082	-0.0457	-6e-05	-0.13915	203.15033	-1.53684	0.0007	0.0413	0.00203	-0.12797	95.33726	-1.36615	0.00063	0.02309	-0.00066	0.24018	713.95275	2.96217	0.00333	0.0939	-0.00143	-0.1467	-303.15927	-1.0104	-0.00179	-0.05071	-0.00076	-0.17276	-60.97889	-2.5344	-0.00015	0.008	0.00086	0.11519	-1059.83732	1.7676	-0.0058	-0.1945	-0.00054	-0.33337	124.0984	-1.40907	0.00087	0.01285	-6e-05	-0.0399	-122.91349	3.6736	-0.00073	-0.06458	0.00075	-0.15951	1275.56418	-5.7664	0.00914	0.28871	0.00166
21	0.1416	158.60003	0.76138	0.00299	0.02344	-0.00102	-0.10134	-117.63963	-0.53196	0.00079	-0.00031	0.00024	-0.20735	673.29577	-2.23423	0.0047	0.12064	0.00159	-0.46564	449.45233	-3.60365	0.00355	0.0917	-0.00131	-0.08244	-641.778	-1.30089	-0.00369	-0.1082	-4e-05	-0.09868	-74.56262	0.38101	-0.00212	-0.05233	-0.00013	-0.23385	373.4911	2.63754	0.00054	0.02065	-0.00051	0.26442	-836.5304	0.91414	-0.0058	-0.10603	-0.00093	0.18803	-1316.79673	3.90171	-0.01151	-0.28436	0.00098	0.3159	345.6692	0.73764	-0.00041	0.04247	-0.00237	-0.03916	-802.6174	-3.82762	-0.00565	-0.09543	0.00013	-0.03866	-1750.72107	-2.64996	-0.01336	-0.22912	0.00073	-0.38051	-542.4644	-5.98262	-0.00629	-0.06363	-0.00344	0.20022	-13.5744	4.19004	-0.00027	0.03897	0.00221
22	0.1318	16.27669	3.04857	-0.0005	-0.00476	0.00029	-0.15346	-154.46129	0.12692	-0.00044	0.00024	6e-05	-0.14192	-241.24143	-1.67167	-0.00122	-0.01955	-0.00139	-0.35989	-197.95069	-2.44273	-0.00093	-0.04078	-0.00126	0.33925	111.712	0.4	0.00142	0.02819	-0.00085	0.13949	-158.09227	1.48	-0.00086	-0.05645	-0.00142	-0.26029	-16.4481	1.4625	-0.00133	-0.04032	0.00263	-0.61607	9.44697	-1.00571	-0.00028	-0.02721	0.00104	-0.61104	191.16907	-3.83333	8e-05	-0.00882	0.00107	0.14276	636.2348	-3.878	0.00377	0.13863	-0.00044	0.19529	-284.0596	-5.525	1e-05	0.00377	-0.00068	-0.04098	-836.4896	-2.64	-0.0033	-0.10651	-0.00131	0.53397	53.6504	2.89	-1e-05	-0.00214	-0.00345	-0.37204	262.6004	0.34	-0.00054	-0.10646	-0.00703
23	-0.20666	-173.07911	-1.38673	-0.00099	-0.0215	-0.00011	-0.78346	-208.06075	-2.97746	-0.00183	-0.05628	-6e-05	-0.64178	253.69446	-1.81999	0.00151	0.03272	1e-05	0.74334	-38.76922	2.49721	6e-05	0.01914	-6e-05	0.86465	119.52598	3.42344	0.00119	0.03028	5e-05	-0.47122	-119.5979	-2.16471	-0.00077	-0.03348	-0.00016	-0.64623	-321.20341	-3.32874	-0.00275	-0.06301	0.00012	-0.06808	456.21637	1.22961	0.00293	0.0707	-3e-05	0.90483	-71.4136	2.17162	-8e-05	0.02087	-0.00017	-0.50786	-434.56449	-1.26342	-0.00338	-0.10435	0.00019	-0.0688	172.15968	0.81201	0.00012	-0.00013	0.0003	-0.50366	103.28462	-5.6076	0.00118	0.04118	-9e-05	0.92477	-266.36149	8.66718	-0.00152	-0.05952	-0.0003	-1.62901	-199.46516	-6.62849	-0.00139	-0.0937	-0.00013
24	-0.07486	-230.66733	-1.77544	-0.00071	-0.01537	-0.00182	-0.00148	23.58214	0.96013	0.0001	-0.01298	-0.00222	-0.11271	28.86231	-1.22104	-7e-05	0.00444	0.00263	0.06747	-106.2775	0.65243	-0.00013	0.00709	-0.00199	0.08397	335.91818	0.86382	0.0012	0.03336	-0.00021	0.0487	-456.069	-0.63602	-0.00188	-0.05304	-0.00166	0.0005	100.00778	0.95938	0.00037	-0.00376	-0.00267	-0.08173	-60.54	-1.1916	-0.00124	-0.01526	0.00628	-0.18973	16.76286	-1.48001	0.0009	0.01441	-9e-05	0.10583	187.14167	0.68743	0.00078	0.01804	-0.00394	0.02566	-462.026	-0.33952	-0.00188	-0.06371	0.00684	0.03478	298.885	1.20629	0.0005	0.01432	-0.00313	-0.23294	96.0	-3.05402	-8e-05	0.02334	-0.00299	-0.19548	-103.245	0.01129	0.0	-0.03071	0.00134
25	0.18359	177.00597	-0.83794	0.00101	0.06023	0.00121	-0.05397	178.00594	-1.28402	0.0018	0.04415	-0.00107	-0.00159	383.79007	0.20556	0.00389	0.09246	-0.00068	0.0655	-858.20505	-0.69707	-0.0045	-0.11329	-3e-05	0.164	193.0774	2.07744	0.00086	0.00424	-0.00068	-0.64211	161.68084	-2.8837	-0.00018	0.00544	-0.00135	-0.52485	-754.51935	-1.58597	-0.00722	-0.19323	-0.00059	0.14718	-173.77731	3.98587	-0.00139	-0.0877	5e-05	-0.30869	-1074.9606	-1.14722	-0.00566	-0.16541	-0.00042	-0.28606	-1079.264	-0.38022	-0.00719	-0.21402	0.0004	-1.0665	179.0874	-1.88972	0.00313	0.01796	0.00071	0.53692	50.99107	-0.96778	-0.00169	0.0308	0.00031	1.2503	1216.6934	7.74278	0.00418	0.14848	0.00044	-0.49562	1666.5704	-6.49556	0.00904	0.31515	0.00027
26	0.07175	-276.45877	0.531	-0.00151	-0.03524	-0.00021	-0.24889	-165.09951	-2.42837	-0.00079	-0.0187	0.00011	-0.22036	274.80773	-0.42596	0.00126	0.0258	-0.00017	0.14618	-202.41752	-0.32571	-0.00121	-0.04318	-0.00023	0.03344	-312.51302	-0.75109	-0.00191	-0.03491	0.00089	-0.16038	314.47914	-0.52766	0.00182	0.05372	-0.00054	-0.06859	81.98034	1.47088	0.00098	0.01123	-0.00036	0.01908	-114.98363	0.75604	-0.00173	-0.03584	-0.00029	-0.56965	296.90418	-4.17362	0.00177	0.05893	-0.00051	-0.45491	-357.94649	-1.68796	-0.00326	-0.10313	-0.00073	0.71027	127.08751	4.15804	-3e-05	-0.01698	-0.00192	0.66152	-470.07849	2.96693	-0.00364	-0.08498	-0.00154	0.39371	-222.68949	0.91404	0.00235	0.06713	-6e-05	-1.70402	1211.92018	-5.59462	0.00966	0.2754	-0.00041
27	-0.14124	-126.04143	-1.48805	-0.0011	-0.02453	0.00015	-0.65529	-84.85615	-4.29852	2e-05	0.00679	1e-05	0.38377	192.5925	1.33699	0.00098	0.02715	8e-05	0.27399	-35.31818	4.3455	-0.00052	-0.01614	-0.00018	-0.43177	-79.613	-3.80222	-0.00056	-0.01814	-0.00036	-0.61461	39.06	-3.4764	0.00049	0.02036	-0.00025	0.36833	-101.18875	1.11271	-0.0007	-0.01913	-0.00023	0.67741	-15.58571	6.14395	-0.00081	-0.03585	-0.00013	-0.82996	88.63167	-5.39051	0.00218	0.05022	0.00025	-0.16567	-394.552	-2.18769	-0.00318	-0.06953	0.00017	1.08641	195.3075	6.60471	0.00085	-0.00128	-2e-05	-0.52065	125.46	1.84182	-4e-05	0.01245	0.00054	-0.64262	-298.08	-9.36996	-0.00117	-0.02617	6e-05	0.40212	207.27	5.63204	0.00051	0.01649	-0.00059
