Feature: f1                        Rank: 28,  Keep: False 
Feature: f2                        Rank: 26,  Keep: False 
Feature: f3                        Rank: 4,  Keep: False 
Feature: f4                        Rank: 1,  Keep: True 
Feature: f5                        Rank: 15,  Keep: False 
Feature: f6                        Rank: 17,  Keep: False 
Feature: f7                        Rank: 20,  Keep: False 
Feature: f8                        Rank: 33,  Keep: False 
Feature: f9                        Rank: 20,  Keep: False 
Feature: f10                       Rank: 7,  Keep: False 
Feature: f11                       Rank: 22,  Keep: False 
Feature: f12                       Rank: 34,  Keep: False 
Feature: f13                       Rank: 1,  Keep: True 
Feature: f14                       Rank: 28,  Keep: False 
Feature: f15                       Rank: 32,  Keep: False 
Feature: f16                       Rank: 8,  Keep: False 
Feature: f17                       Rank: 26,  Keep: False 
Feature: f18                       Rank: 5,  Keep: False 
Feature: f19                       Rank: 24,  Keep: False 
Feature: f20                       Rank: 1,  Keep: True 
Feature: f21                       Rank: 13,  Keep: False 
Feature: f22                       Rank: 36,  Keep: False 
Feature: f23                       Rank: 30,  Keep: False 
Feature: f24                       Rank: 30,  Keep: False 
Feature: f25                       Rank: 37,  Keep: False 
Feature: f26                       Rank: 17,  Keep: False 
Feature: f27                       Rank: 17,  Keep: False 
Feature: f28                       Rank: 1,  Keep: True 
Feature: f29                       Rank: 11,  Keep: False 
Feature: f30                       Rank: 6,  Keep: False 
Feature: f31                       Rank: 22,  Keep: False 
Feature: f32                       Rank: 3,  Keep: False 
Feature: f33                       Rank: 9,  Keep: False 
Feature: f34                       Rank: 2,  Keep: False 
Feature: f35                       Rank: 10,  Keep: False 
Feature: f36                       Rank: 26,  Keep: False 
Feature: f37                       Rank: 17,  Keep: False 
Feature: f38                       Rank: 35,  Keep: False 
Feature: f39                       Rank: 13,  Keep: False 
Feature: f40                       Rank: 13,  Keep: False 
