Feature: f1                        Rank: 5,  Keep: False 
Feature: f2                        Rank: 102,  Keep: False 
Feature: f3                        Rank: 81,  Keep: False 
Feature: f4                        Rank: 139,  Keep: False 
Feature: f5                        Rank: 1,  Keep: True 
Feature: f6                        Rank: 127,  Keep: False 
Feature: f7                        Rank: 76,  Keep: False 
Feature: f8                        Rank: 140,  Keep: False 
Feature: f9                        Rank: 1,  Keep: True 
Feature: f10                       Rank: 2,  Keep: False 
Feature: f11                       Rank: 94,  Keep: False 
Feature: f12                       Rank: 138,  Keep: False 
Feature: f13                       Rank: 1,  Keep: True 
Feature: f14                       Rank: 30,  Keep: False 
Feature: f15                       Rank: 125,  Keep: False 
Feature: f16                       Rank: 137,  Keep: False 
Feature: f17                       Rank: 1,  Keep: True 
Feature: f18                       Rank: 21,  Keep: False 
Feature: f19                       Rank: 99,  Keep: False 
Feature: f20                       Rank: 78,  Keep: False 
Feature: f21                       Rank: 2,  Keep: False 
Feature: f22                       Rank: 65,  Keep: False 
Feature: f23                       Rank: 136,  Keep: False 
Feature: f24                       Rank: 131,  Keep: False 
Feature: f25                       Rank: 19,  Keep: False 
Feature: f26                       Rank: 43,  Keep: False 
Feature: f27                       Rank: 120,  Keep: False 
Feature: f28                       Rank: 124,  Keep: False 
Feature: f29                       Rank: 14,  Keep: False 
Feature: f30                       Rank: 2,  Keep: False 
Feature: f31                       Rank: 127,  Keep: False 
Feature: f32                       Rank: 111,  Keep: False 
Feature: f33                       Rank: 14,  Keep: False 
Feature: f34                       Rank: 2,  Keep: False 
Feature: f35                       Rank: 39,  Keep: False 
Feature: f36                       Rank: 111,  Keep: False 
Feature: f37                       Rank: 19,  Keep: False 
Feature: f38                       Rank: 2,  Keep: False 
Feature: f39                       Rank: 51,  Keep: False 
Feature: f40                       Rank: 118,  Keep: False 
Feature: f41                       Rank: 23,  Keep: False 
Feature: f42                       Rank: 80,  Keep: False 
Feature: f43                       Rank: 1,  Keep: True 
Feature: f44                       Rank: 105,  Keep: False 
Feature: f45                       Rank: 67,  Keep: False 
Feature: f46                       Rank: 101,  Keep: False 
Feature: f47                       Rank: 1,  Keep: True 
Feature: f48                       Rank: 85,  Keep: False 
Feature: f49                       Rank: 78,  Keep: False 
Feature: f50                       Rank: 25,  Keep: False 
Feature: f51                       Rank: 1,  Keep: True 
Feature: f52                       Rank: 83,  Keep: False 
Feature: f53                       Rank: 74,  Keep: False 
Feature: f54                       Rank: 33,  Keep: False 
Feature: f55                       Rank: 116,  Keep: False 
Feature: f56                       Rank: 70,  Keep: False 
Feature: f57                       Rank: 81,  Keep: False 
Feature: f58                       Rank: 29,  Keep: False 
Feature: f59                       Rank: 115,  Keep: False 
Feature: f60                       Rank: 1,  Keep: True 
Feature: f61                       Rank: 26,  Keep: False 
Feature: f62                       Rank: 21,  Keep: False 
Feature: f63                       Rank: 131,  Keep: False 
Feature: f64                       Rank: 122,  Keep: False 
Feature: f65                       Rank: 60,  Keep: False 
Feature: f66                       Rank: 24,  Keep: False 
Feature: f67                       Rank: 113,  Keep: False 
Feature: f68                       Rank: 106,  Keep: False 
