mode	lag	classifier	mean_accuracy	mean_f1	mean_precision	mean_recall	stdev_accuracy	stdev_f1	stdev_precision	stdev_recall
auto	l6	GradientBoosting	0.79360	0.77373	0.81684	0.68968	0.05992	0.07905	0.05249	0.09679
auto	l6	NeuralNetwork	0.83422	0.77188	0.90895	0.73796	0.03976	0.04286	0.05133	0.06649
auto	l6	randomForest	0.82828	0.79520	0.92421	0.73783	0.03531	0.04652	0.04815	0.04521
auto	l7	svm-rbf	0.84235	0.75500	0.95395	0.74167	0.02550	0.03178	0.03708	0.04287
auto	l7	sgd	0.58648	0.57884	0.70000	0.68254	0.40484	0.30552	0.48305	0.13682
auto	l7	nearestCentroid	0.66043	0.87246	0.54474	0.60569	0.10197	0.11394	0.12139	0.09701
auto	l7	adaboost	0.80832	0.78254	0.84711	0.71944	0.06262	0.04206	0.09819	0.07882
auto	l7	BernoulliNaiveBayes	0.84222	0.76522	0.93868	0.74563	0.04106	0.05059	0.04694	0.06722
auto	l7	DecisionTree	0.78221	0.78785	0.79053	0.68228	0.06480	0.05666	0.08094	0.08691
auto	l7	GradientBoosting	0.81849	0.78768	0.85711	0.73056	0.08232	0.06216	0.12155	0.11063
auto	l7	NeuralNetwork	0.82194	0.75440	0.90711	0.71958	0.04996	0.03641	0.09082	0.06561
auto	l7	randomForest	0.84257	0.78041	0.90263	0.74524	0.04067	0.05464	0.06089	0.06454
auto	l8	svm-rbf	0.83930	0.72328	1.00000	0.72328	0.01259	0.01867	0.00000	0.01867
auto	l8	sgd	0.50814	0.57778	0.90000	0.72328	0.43740	0.30502	0.31623	0.01867
auto	l8	nearestCentroid	0.63560	0.83620	0.51921	0.57566	0.07614	0.07912	0.09085	0.07010
auto	l8	adaboost	0.82314	0.78854	0.87132	0.73399	0.06137	0.06238	0.11291	0.07652
auto	l8	BernoulliNaiveBayes	0.82366	0.73791	0.93316	0.71243	0.04008	0.03870	0.05464	0.05809
auto	l8	DecisionTree	0.76020	0.78475	0.76474	0.67857	0.06982	0.05860	0.13237	0.09345
